,slug,name,playtime,released,rating,rating_top,ratings_count,suggestions_count,reviews_text_count,added,reviews_count,esrb_rating,background_image
231,coffee-talk,Coffee Talk,4,2020-01-28,3.72,4,78,181,1,728,79,teen,https://media.rawg.io/media/games/100/100c1787b05ac9151b82a118bc997f97.jpg
232,the-pedestrian,The Pedestrian,2,2020-01-29,4.17,4,100,265,2,725,104,everyone,https://media.rawg.io/media/screenshots/789/789144172022eb539a9fe76e5ca61527.jpg
233,the-artful-escape,The Artful Escape,4,2021-09-09,4.12,4,95,178,4,711,99,everyone-10-plus,https://media.rawg.io/media/games/d3e/d3ee2d7653cf9d4640335ff7a471ab07.jpg
234,project-wingman,Project Wingman,2,2020-11-30,4.0,4,20,355,0,708,20,,https://media.rawg.io/media/games/28a/28a5010a07b9104a91c6de5059a7fe69.jpg
235,nobody-saves-the-world,Nobody Saves the World,5,2022-01-17,3.84,4,72,287,1,708,74,teen,https://media.rawg.io/media/games/b44/b448c0725eb490dda9cfb23b826da68a.jpg
236,skul-the-hero-slayer,Skul: The Hero Slayer,3,2021-01-21,3.51,4,92,259,0,702,92,,https://media.rawg.io/media/games/4f0/4f0a1619ca566080c9f3bb1e813bd6f6.jpg
237,zombie-army-dead-war-4,Zombie Army 4: Dead War,7,2020-02-04,3.39,4,81,264,2,700,83,mature,https://media.rawg.io/media/games/c70/c7070c9ee7e1d4493feb446dd7a10309.jpg
238,totally-reliable-delivery-service,Totally Reliable Delivery Service,1,2020-04-01,2.85,3,105,197,1,693,106,everyone,https://media.rawg.io/media/screenshots/253/25378cb362ba095ccc1062fed2136ede.jpg
239,zumas-revenge,Zuma's Revenge!,2,2009-09-15,3.82,4,107,360,0,683,107,everyone,https://media.rawg.io/media/screenshots/3eb/3eb918422509a15405e723cf18cddc34.jpg
240,fe,Fe,2,2018-02-16,3.06,3,116,296,4,661,120,everyone,https://media.rawg.io/media/games/80a/80a336506a4bd7921ea6f3f81ef7d98d.jpg
241,fight-night-champion,FIGHT NIGHT CHAMPION,0,2010-04-26,4.0,4,122,329,2,646,124,mature,https://media.rawg.io/media/games/907/9072a603448c13e1223b53dcc8019cca.jpg
242,viva-pinata-tip,Viva Piñata: TIP,0,2010-07-15,3.22,3,77,323,2,637,79,everyone,https://media.rawg.io/media/screenshots/81e/81e17d5b2a1cb89835234fe2d28950bd.jpg
243,doom-64,Doom 64,2,1997-03-31,3.96,4,88,329,0,636,89,mature,https://media.rawg.io/media/screenshots/f7a/f7a19f45bbe8dfb2960ce167ad879d3e.jpg
244,crown-trick,Crown Trick,3,2020-10-16,3.5,4,22,375,0,635,22,,https://media.rawg.io/media/games/d94/d9406db56b580415379a33d3a16c66e0.jpg
245,aliens-fireteam,Aliens: Fireteam Elite,7,2021-08-23,2.88,3,54,403,4,625,58,,https://media.rawg.io/media/games/bb8/bb8a1de04cf151b55bcb9b5a38ba9a0b.jpg
246,lawn-mowing-simulator,Lawn Mowing Simulator,2,2021-08-10,3.38,4,16,382,0,615,16,everyone-10-plus,https://media.rawg.io/media/screenshots/643/643a3dd6aba644d35f2c6476ce10ef60.jpg
247,neoverse-2,NEOVERSE,1,2019-01-09,3.03,4,31,462,0,612,31,,https://media.rawg.io/media/games/75a/75a24fe7a7c5d421f4077dcce8962b11.jpg
248,crysis-remastered,Crysis Remastered,2,2020-09-18,3.25,3,77,343,0,604,77,mature,https://media.rawg.io/media/games/3e4/3e42278fa5e9a85f4cd3d3ed4355a9f2.jpg
249,zuma,Zuma,0,2003-12-03,3.83,4,120,362,1,604,121,everyone-10-plus,https://media.rawg.io/media/screenshots/593/5936a7fb9b53cd38341957cbf03be625.jpg
250,embr,Embr,2,2020-05-21,3.07,3,14,178,0,601,15,everyone-10-plus,https://media.rawg.io/media/screenshots/f3c/f3c3687da806da7769cea303467d5a79.jpg
251,banjo-tooie,Banjo-Tooie,2,2000-11-20,4.03,4,118,778,1,581,119,everyone,https://media.rawg.io/media/screenshots/84d/84d128e39e3d57a040c1ae21607135bb.jpg
252,new-super-luckys-tale,New Super Lucky's Tale,4,2019-11-08,3.79,4,60,251,2,580,62,everyone,https://media.rawg.io/media/screenshots/880/880ca9c8cb5b3270c719c0202f27f2a7.jpg
253,chivalry-2,Chivalry 2,4,2021-06-08,3.67,4,32,420,1,560,33,adults-only,https://media.rawg.io/media/screenshots/d3e/d3ed3ab5f11f8f6294dd561c16dccdf8.jpg
254,rocket-arena-2,Rocket Arena,2,2020-07-13,2.13,1,58,527,2,554,60,teen,https://media.rawg.io/media/games/69d/69d984a5952c3f471792abf19606533f.jpg
255,f1-2021,F1 2021,15,2021-07-16,3.93,4,42,82,0,544,42,everyone,https://media.rawg.io/media/games/882/8820b0bc5ec9c135aca22389d105b566.jpg
256,as-dusk-falls,As Dusk Falls,7,2022-07-19,3.98,4,63,268,1,523,66,mature,https://media.rawg.io/media/games/0eb/0eb6673637d877b09a9a1f9aa6e25db4.jpg
257,lost-in-random,Lost in Random,2,2021-09-10,3.6,4,26,587,4,516,30,everyone-10-plus,https://media.rawg.io/media/games/f7e/f7ed6cf588d66eab5bb3872dc1ddcd78.jpg
258,chorus,Chorus,2,2021-12-02,3.55,4,43,250,1,513,44,teen,https://media.rawg.io/media/games/656/656bf6751565fe441af18db27be92b12.jpg
259,the-riftbreaker,The Riftbreaker,5,2021-10-14,3.93,4,57,548,2,508,59,,https://media.rawg.io/media/games/97d/97d257af0b770c67c92b523f8900c783.jpg
260,exo-one,Exo One,2,2021-11-18,3.64,4,71,169,0,497,72,,https://media.rawg.io/media/games/d9f/d9f967e0abfd90eaece03c36d4bb5878.jpg
261,far-changing-tides,FAR: Changing Tides,4,2022-03-01,3.76,4,62,370,1,494,63,,https://media.rawg.io/media/games/d70/d70084559f41e7a7d4b1cc441c163763.jpg
262,empire-of-sin,Empire of Sin,6,2020-12-01,2.81,3,42,175,0,484,42,mature,https://media.rawg.io/media/games/7a5/7a578aecba92b011053b66ac79e73703.jpg
263,skatebird,SkateBIRD,1,2021-09-16,1.94,1,50,179,2,483,52,teen,https://media.rawg.io/media/screenshots/687/687dba2775a86b54ec90b32005857135.jpg
264,cooking-simulator,Cooking Simulator,3,2019-06-05,3.85,4,59,369,1,481,60,,https://media.rawg.io/media/screenshots/a85/a85692b735a17d9b5996ac393924b5a9.jpg
265,bleeding-edge,Bleeding Edge,2,2020-03-24,2.71,3,81,279,2,470,83,teen,https://media.rawg.io/media/games/8b1/8b17ae36874ae78206449810ffecc180.jpg
266,jetpac-refuelled,Jetpac Refuelled,0,2010-01-04,2.5,3,42,302,0,462,42,everyone,https://media.rawg.io/media/games/ddd/ddda5ad6ac893b453dfc6fc2cd1525ff.jpg
267,solasta-crown-of-the-magister,Solasta: Crown of the Magister,5,2021-05-27,3.33,4,34,296,2,459,36,,https://media.rawg.io/media/games/1d6/1d65bc7a33b90263aae066abe32b5754.jpg
268,aragami-2,Aragami 2,3,2021-09-17,3.25,3,55,365,1,453,57,mature,https://media.rawg.io/media/games/0d4/0d483b51813737f40163c501ed123cb5.jpg
269,two-point-campus,Two Point Campus,7,2022-08-09,3.6,4,15,138,0,438,15,teen,https://media.rawg.io/media/games/bde/bdedc180d7e2bca40fd105980d74b452.jpg
270,feeding-frenzy,Feeding Frenzy,0,2004-02-11,3.0,3,50,188,1,436,51,everyone,https://media.rawg.io/media/screenshots/4ad/4ad2befeb01eb322d4594e5268a16067.jpg
271,midnight-fight-express,Midnight Fight Express,2,2022-08-23,3.47,4,29,117,1,428,30,,https://media.rawg.io/media/games/cd2/cd28a066e3a8d602e1ebbff8111fd10a.jpg
272,edge-of-eternity,Edge of Eternity,2,2018-12-05,3.18,4,27,589,0,403,28,,https://media.rawg.io/media/games/295/2959ee1a7bb55a7258cc5406b91c50bc.jpg
273,heavy-weapon,Heavy Weapon,0,2008-01-01,2.81,4,43,357,0,394,43,teen,https://media.rawg.io/media/screenshots/f70/f70b50b640d876961a2da13020d4c77d_w2hIBYR.jpg
274,jurassic-world-evolution-2-2,Jurassic World Evolution 2,3,2021-11-09,3.38,3,21,272,0,384,21,teen,https://media.rawg.io/media/games/647/64797fe9358aa3c7ddc4ff36f89e4382.jpg
275,backbone,Backbone,5,2021-06-08,3.47,4,58,246,1,381,59,,https://media.rawg.io/media/games/639/63907c46573df93d2d2f65e9fff4f284.jpg
276,lake,Lake,3,2021-09-01,3.37,3,66,261,2,373,68,mature,https://media.rawg.io/media/games/273/27334516074f7b017a128b187e20b8a5.jpg
277,bejeweled-2,Bejeweled 2,2,2004-11-05,3.38,4,52,157,0,371,52,everyone,https://media.rawg.io/media/screenshots/d52/d52a59d2304947b2be1e3a9989e25bed.jpg
278,grid-legends,GRID Legends,3,2022-02-25,3.35,4,19,272,0,355,20,everyone-10-plus,https://media.rawg.io/media/games/8cb/8cbf9a1735ae48b70b9aba5f82ab56da.jpg
279,naraka-bladepoint,Naraka Bladepoint,5,2021-08-11,3.22,4,27,676,0,353,27,,https://media.rawg.io/media/games/75e/75e95dc8d5b290f6875062af6b35fb59.jpg
280,disc-room-2,Disc Room,2,2020-10-22,3.67,4,44,178,1,336,45,,https://media.rawg.io/media/games/f88/f88d992e78f533684f1965bee823f062.jpg
281,farming-simulator-22,Farming Simulator 22,6,2021-11-22,3.44,4,18,406,0,333,18,everyone,https://media.rawg.io/media/games/dd9/dd90964966f6bf9b0bd635be432fbf8a.jpg
282,immortality,Immortality,6,2022-08-29,4.38,5,21,373,0,316,21,,https://media.rawg.io/media/games/7df/7df4efb7075152f421edbf651f3a9c0c.jpg
283,screamride,ScreamRide,0,2015-02-16,2.74,3,39,473,0,306,39,everyone-10-plus,https://media.rawg.io/media/screenshots/da0/da015745ca82dff413d419e3783da7a0.jpg
284,shredders,Shredders,4,2022-03-17,2.62,3,23,98,0,293,24,,https://media.rawg.io/media/games/33a/33ae2d5494b41bd5703dee6bd185b270.jpg
285,dreamscaper-2,Dreamscaper,2,2021-08-05,3.4,4,30,530,0,289,30,everyone-10-plus,https://media.rawg.io/media/games/785/78596308d98b093b05d54f6f1df48053.jpg
286,escape-academy,Escape Academy,4,2022-07-13,4.0,4,19,306,2,287,21,,https://media.rawg.io/media/games/046/046a0d88df42efb3a5c080af9ad91e65.jpg
287,tinykin,Tinykin,4,2022-08-29,4.19,5,24,193,1,286,26,,https://media.rawg.io/media/games/2a3/2a35da986abc10082c27c3d230ccf1e1.jpg
288,a-memoir-blue,A Memoir Blue,3,2022-03-24,3.5,4,37,253,1,257,38,,https://media.rawg.io/media/games/ec2/ec2eabf6162f34565d2fc02befe371be.jpg
289,madden-nfl-21,Madden NFL 21,3,2020-08-25,2.4,1,28,448,2,251,30,everyone,https://media.rawg.io/media/games/151/151207c420827db4645b4f675e4c2fc5.jpg
290,mechwarrior-5-mercenaries,MechWarrior 5: Mercenaries,5,2019-12-10,3.19,4,26,279,0,251,27,,https://media.rawg.io/media/games/ba2/ba27ddbd28606e4ef8f694298c0fd67f.jpg
291,recompile,Recompile,2,2021-08-19,2.83,3,24,315,0,247,24,,https://media.rawg.io/media/screenshots/b6c/b6c21a9548977e34ea62fde1d6ea5612.jpg
292,you-suck-at-parking,You Suck at Parking,15,2022-09-14,3.3,4,10,39,0,245,10,everyone,https://media.rawg.io/media/screenshots/ccb/ccb8e9ca457b2a41e9f27bcc1f02f5a3.jpg
293,citizen-sleeper,Citizen Sleeper,6,2022-05-05,4.12,5,16,318,0,240,16,teen,https://media.rawg.io/media/games/391/391954934d459b8fe78d87a8a68c71c6.jpg
294,ea-sports-rory-mcilroy-pga-tour,EA SPORTS Rory McIlroy PGA TOUR,0,2015-07-14,3.37,4,29,447,1,236,30,everyone,https://media.rawg.io/media/screenshots/303/303f2a0379cbb7ad7ee33e3f6542e812_OqEOk8n.jpg
295,eiyuden-chronicle-rising,Eiyuden Chronicle: Rising,4,2022-05-10,3.54,4,12,588,1,233,13,,https://media.rawg.io/media/games/e77/e77462cb5eb12827d0506c6c6feedbc0.jpg
296,flynn-son-of-crimson,Flynn: Son of Crimson,8,2021-09-15,3.3,4,21,379,1,231,23,,https://media.rawg.io/media/screenshots/1ed/1ed69a78ea0237bbccd7b12b118396c2.jpg
297,power-rangers-battle-for-the-grid,Power Rangers: Battle For The Grid,1,2019-03-26,2.89,3,19,259,0,220,19,teen,https://media.rawg.io/media/games/7f5/7f5972ab99f48b84b770dea1edd2f5c5.jpg
298,wasteland-remastered,Wasteland Remastered,1,2020-02-24,2.81,3,16,79,0,216,16,,https://media.rawg.io/media/screenshots/bee/beee405ab29d38db7cc6064e4dafbbaa.jpg
299,ninja-gaiden-3,Ninja Gaiden 3,0,2012-02-14,3.25,4,39,644,1,213,40,mature,https://media.rawg.io/media/games/c6e/c6e59ac06976a364c1e8ed3b90d5b0a5.jpg
300,dead-space-ignition,Dead Space Ignition,0,2010-10-12,2.8,3,30,459,0,208,30,mature,https://media.rawg.io/media/screenshots/713/713b04076ad38438a01d903eb1fb5c84.jpg
301,pupperazzi,Pupperazzi,2,2022-01-20,2.84,4,19,176,0,207,19,everyone,https://media.rawg.io/media/screenshots/da3/da34969a740bd48ea8d5be8d4ec64954.jpg
302,young-souls,Young Souls,5,2022-03-10,3.21,4,14,219,0,207,14,,https://media.rawg.io/media/games/70a/70a009eae06ac608b9d8274125e68bb4.jpg
303,my-friend-peppa-pig,My Friend Peppa Pig,3,2021-10-22,3.0,3,12,133,1,207,13,,https://media.rawg.io/media/games/8df/8df18af38346f2a208d355daf7246d11.jpg
304,mighty-goose,Mighty Goose,4,2021-06-05,3.86,4,21,242,0,203,21,,https://media.rawg.io/media/screenshots/b76/b761b37e518d4578f1abffc7587e25bd.jpg
305,black,BLACK,3,2006-02-24,4.07,4,85,58,0,197,86,mature,https://media.rawg.io/media/games/7fe/7fee01c7f226292be9a27cdc45ee3691.jpg
306,bug-fables,Bug Fables: The Everlasting Sapling,2,2019-11-20,4.23,5,13,130,0,196,13,everyone,https://media.rawg.io/media/screenshots/82f/82f152cf71e5055a4119363998efd13c.jpg
307,olija,Olija,2,2021-01-28,3.54,4,24,51,0,193,24,,https://media.rawg.io/media/screenshots/0fc/0fcc689d1c0018846a901914fe4742f4.jpg
308,phoenix-point,Phoenix Point,0,2019-12-03,3.13,4,49,336,1,188,52,,https://media.rawg.io/media/games/a35/a35b768cd1cfabf5cc1837763d9648af.jpg
309,archvale,Archvale,12,2021-12-02,3.54,4,26,272,0,182,26,,https://media.rawg.io/media/screenshots/70d/70d59d4c32d3c7f925bf5e7502f5bfe9.jpg
310,windjammers-2,Windjammers 2,1,2022-01-20,4.04,4,28,347,0,180,28,everyone,https://media.rawg.io/media/games/445/4454ca9ba9b2e251ab2fa63354558b8a.jpg
311,feeding-frenzy-2,Feeding Frenzy 2,0,2008-01-01,3.5,3,20,287,0,178,20,everyone,https://media.rawg.io/media/screenshots/e92/e925675403902177874a4f7ab463e6c7.jpg
312,yakuza-remastered-collection,Yakuza Remastered Collection,0,2019-08-20,4.06,5,17,385,0,173,17,mature,https://media.rawg.io/media/games/5c5/5c57884270513c4baf3ad0d43a869ffe.jpg
313,lost-words-beyond-the-page,Lost Words: Beyond the Page,4,2021-04-05,4.08,4,12,173,0,170,12,everyone,https://media.rawg.io/media/screenshots/08b/08beb85ebdd1d418ce08863bce0846a5.jpg
314,ben-10-power-trip,Ben 10: Power Trip,1,2020-10-09,2.57,3,13,328,0,165,14,,https://media.rawg.io/media/screenshots/438/4386fdc13fa355b57303c9a89507964f.jpg
315,space-warlord-organ-trading-simulator,Space Warlord Organ Trading Simulator,1,2021-12-07,2.59,3,22,190,0,162,22,,https://media.rawg.io/media/screenshots/af1/af123c33ea2a76602d5b9b1741adaa48.jpg
316,nhl-21,NHL 21,0,2020-10-16,3.43,4,23,250,0,159,23,everyone-10-plus,https://media.rawg.io/media/games/576/5764a182aafe5b5fddc25fdfd15170d6.jpg
317,moonscars,Moonscars,0,2022-09-27,2.62,4,8,453,0,152,8,,https://media.rawg.io/media/screenshots/236/236729a999d0be4cb3c60297d264492a.jpg
318,beacon-pines,Beacon Pines,3,2022-09-22,4.1,4,10,400,0,152,10,teen,https://media.rawg.io/media/games/384/3840fdbb91612c81db98176a4c1e7a8d.jpg
319,infernax,Infernax,7,2022-02-14,4.04,5,22,200,0,149,24,mature,https://media.rawg.io/media/games/38f/38fe875c8621c7f7e7d81209576c1362.jpg
320,the-gunk,The Gunk,0,2021-12-16,3.69,4,37,438,1,149,39,,https://media.rawg.io/media/screenshots/364/36414526a440e61da80716ae1ec11136.jpg
321,super-mega-baseball-3,Super Mega Baseball 3,4,2020-05-13,3.5,5,8,359,0,127,8,everyone,https://media.rawg.io/media/games/63a/63adb258d31d291ee53168327de6294b.jpg
322,loot-river,Loot River,4,2022-05-03,3.62,3,8,244,0,125,8,mature,https://media.rawg.io/media/screenshots/0e1/0e1bdc71ba5de3a7403ad9882c31ce36.jpg
323,nhl-94-rewind,NHL 94 REWIND,0,2020-10-30,3.46,4,12,11,1,123,13,,https://media.rawg.io/media/screenshots/7ca/7ca661636eac4dc119f14e25cd67a3eb.jpg
324,undungeon-2,Undungeon,1,2021-11-18,3.0,3,7,390,0,111,8,,https://media.rawg.io/media/screenshots/b2d/b2d14dcea835b45fe6b35a856f0fec26.jpg
325,fuga-melodies-of-steel,Fuga: Melodies of Steel,6,2021-07-28,0.0,0,1,477,0,109,1,,https://media.rawg.io/media/screenshots/128/1286f376596f7cdf7da6fc2708626cfa.jpg
326,madden-nfl-22,Madden NFL 22,2,2021-08-17,2.0,1,6,453,0,101,6,,https://media.rawg.io/media/games/2c9/2c90a3f77378fca124519365cf347924.jpg
327,moonglow-bay,Moonglow Bay,10,2021-10-26,3.5,4,10,198,0,98,10,,https://media.rawg.io/media/screenshots/674/6740ddd051de766ebd3e34d1cb5e1a65.jpg
328,chinatown-detective-agency,Chinatown Detective Agency,1,2022-04-07,0.0,0,3,439,0,82,3,,https://media.rawg.io/media/games/1d9/1d9f674e4fc3bb73f036b50092cb9862.jpg
329,ufc-4,UFC 4,0,2020-08-14,3.63,4,37,492,1,78,38,teen,https://media.rawg.io/media/games/263/263f39f29a81c68a120e4f1559682dad.jpg
330,the-anacrusis,The Anacrusis,2,2022-01-13,0.0,0,2,454,0,77,4,,https://media.rawg.io/media/games/d27/d275ae07be7d308bbd020fd719ce8910.jpg
331,race-with-ryan,Race With Ryan,2,2019-11-01,0.0,0,3,422,1,77,4,everyone,https://media.rawg.io/media/screenshots/cd8/cd8da23d3df12f5beaf7df2da2a9cf93.jpg
332,anvil,Anvil,5,2021-12-01,0.0,0,4,562,0,70,4,,https://media.rawg.io/media/screenshots/62d/62d50fa26fa65f212e5bbb00413e455c.jpg
333,immortal-realms-vampire-wars,Immortal Realms: Vampire Wars,3,2020-08-27,3.5,4,6,486,0,61,6,,https://media.rawg.io/media/screenshots/e4e/e4ef36ba607fb8a2493526c94d6e450e.jpg
334,the-last-kids-on-earth-and-the-staff-of-doom,The Last Kids on Earth and the Staff of Doom,0,2021-06-04,0.0,0,3,201,0,52,3,,https://media.rawg.io/media/screenshots/bdb/bdbf7cb7f5c0c6717243bf35b3324a08.jpg
335,transformers-battlegrounds,TRANSFORMERS: BATTLEGROUNDS,1,2020-10-23,0.0,0,4,264,0,52,4,,https://media.rawg.io/media/games/7b5/7b5d8272343cc5c142f967c1191c55e9.jpg
336,floppy-knights,Floppy Knights,2,2022-05-24,0.0,0,3,129,0,51,3,everyone-10-plus,https://media.rawg.io/media/screenshots/63f/63fb52de1d20952fdf9fe0ec08285ab9.jpg
337,cricket-22,Cricket 22,15,2021-10-31,0.0,0,3,282,0,46,3,,https://media.rawg.io/media/screenshots/3fd/3fd46d71f44e3e389b6b4d46d9c950df.jpg
338,bassmaster-fishing-2022,Bassmaster Fishing 2022,0,2021-10-28,0.0,0,2,165,0,42,2,,https://media.rawg.io/media/screenshots/824/824f6784c1a7bea5eb0d63c89d1a6bc7.jpg
339,blinx,Blinx: The Time Sweeper,0,2002-10-07,3.5,3,10,368,0,32,10,everyone,https://media.rawg.io/media/screenshots/753/753926f80864b9fb386281097d8a4cf0.jpg
340,ghostbusters-spirits-unleashed,Ghostbusters: Spirits Unleashed,0,2022-10-18,0.0,0,0,500,0,29,0,,https://media.rawg.io/media/games/351/351b4c4c88e51e461e63d1b6f2080fb2.jpg
341,motogp-22,MotoGP 22,4,2022-04-21,0.0,0,2,327,0,22,2,everyone,https://media.rawg.io/media/screenshots/d22/d226e97c3afcc046d11cc331a557bddc.jpg
342,crimson-skies-high-road-to-revenge,Crimson Skies: High Road to Revenge,0,2003-11-11,0.0,5,5,450,0,21,5,teen,https://media.rawg.io/media/screenshots/f1f/f1ff8c25a2511c387e2d8633f55abc4d.jpg
343,grid-3,GRID,0,2019-10-10,3.83,4,6,0,0,20,6,,
344,just-cause-4-reloaded,Just Cause 4: Reloaded,0,2019-11-07,3.0,3,6,374,0,19,6,,https://media.rawg.io/media/screenshots/90d/90dff81acf29733d413a4de86c19929f.jpg
345,pac-man-museum-2,PAC-MAN MUSEUM+,1,2022-05-27,0.0,0,1,323,0,15,1,everyone,https://media.rawg.io/media/screenshots/7e3/7e33ef6b70ad48eac6c09000bc1e7ca3.jpg
346,paw-patrol-the-movie-adventure-city-calls,PAW Patrol The Movie: Adventure City Calls,0,2021-08-13,0.0,0,3,169,0,13,3,,https://media.rawg.io/media/screenshots/cbc/cbc1435fd40efda19faf2e94679e9675.jpg
347,nhl-22,NHL 22,0,2021-10-12,0.0,4,2,425,2,7,5,everyone-10-plus,https://media.rawg.io/media/games/975/975a844185ff056cbc0be2b10608b851.jpg
348,mlb-the-show-22,MLB The Show 22,0,2022-04-01,0.0,0,1,35,0,6,1,everyone,https://media.rawg.io/media/games/2f3/2f3dc3636d8211a42f8a0d151ee43562.jpg
349,the-bards-tale-arpg-remastered-and-resnarkled,The Bard's Tale ARPG: Remastered and Resnarkled,0,2020-06-17,0.0,0,0,355,0,3,0,teen,https://media.rawg.io/media/screenshots/814/814b9c75ff1a1d0025244a2a50f8dce4.jpg
